date,ts,team_a,team_b,score_a,score_b,winner,event
2026-06-03,1780493700,THUNDERdOWNUNDER,BIG,7,13,BIG,Intel Extreme Masters/2026/Cologne
2026-06-03,1780494000,Team Liquid,MIBR,10,13,MIBR,Intel Extreme Masters/2026/Cologne
2026-06-03,1780497600,TYLOO,SINNERS Esports,2,0,TYLOO,Intel Extreme Masters/2026/Cologne
2026-06-03,1780498200,GamerLegion,BetBoom Team,0,2,BetBoom Team,Intel Extreme Masters/2026/Cologne
2026-06-03,1780506000,M80,B8,0,2,B8,Intel Extreme Masters/2026/Cologne
2026-06-03,1780506000,Gaimin Gladiators,HEROIC,0,2,HEROIC,Intel Extreme Masters/2026/Cologne
2026-06-04,1780574400,THUNDERdOWNUNDER,FlyQuest,0,2,FlyQuest,Intel Extreme Masters/2026/Cologne
2026-06-04,1780574400,TYLOO,Sharks Esports,2,1,TYLOO,Intel Extreme Masters/2026/Cologne
2026-06-04,1780583400,GamerLegion,BIG,2,0,GamerLegion,Intel Extreme Masters/2026/Cologne
2026-06-04,1780585500,Lynn Vision Gaming,MIBR,0,2,MIBR,Intel Extreme Masters/2026/Cologne
2026-06-04,1780592400,M80,NRG,2,0,M80,Intel Extreme Masters/2026/Cologne
2026-06-04,1780592400,Team Liquid,HEROIC,2,0,Team Liquid,Intel Extreme Masters/2026/Cologne
2026-06-05,1780660800,TYLOO,Lynn Vision Gaming,2,0,TYLOO,Intel Extreme Masters/2026/Cologne
2026-06-05,1780669800,Team Liquid,FlyQuest,0,2,FlyQuest,Intel Extreme Masters/2026/Cologne
